,Country,% Stimulants (kg),% Stimulants (kcal),% Confirmed,% Deaths,% Recovered,% Active,Population
0,Afghanistan,0.3078,0.075,0.142134196465269,0.0061857788738183,0.12337392108508,0.0125744965063707,38928000.0
1,Albania,0.1055,0.2501,2.96730091613813,0.0509513742071882,1.79263565891473,1.12371388301621,2838000.0
2,Algeria,0.2216,0.1493,0.244897085014767,0.0065581531663548,0.167572198300156,0.0707667335482562,44357000.0
3,Angola,0.0508,0.0441,0.0616874730951356,0.0014605497816862,0.0568076994034807,0.0034192239099686,32522000.0
4,Antigua and Barbuda,0.1564,0.4937,0.293877551020408,0.0071428571428571,0.190816326530612,0.0959183673469388,98000.0
5,Argentina,0.4378,0.2315,4.35614738744298,0.108226634638694,3.90519205765035,0.342728695153933,45377000.0
6,Armenia,0.1863,0.6985,5.68122462787551,0.105345060893099,5.3984100135318,0.177469553450609,2956000.0
7,Australia,0.2928,0.5134,0.112025316455696,0.0035295488079521,0.101289120136678,0.0072066475110662,25754000.0
8,Austria,0.4106,0.3656,4.73998205070675,0.0896791563832174,4.49687009199013,0.153432802333408,8914000.0
9,Azerbaijan,0.0587,0.3061,2.28553620894341,0.0312227938266719,2.22557380292837,0.0287396121883657,10108000.0
10,Bahamas,0.1556,0.4164,2.10076335877863,0.0447837150127227,1.73511450381679,0.320865139949109,393000.0
11,Bangladesh,0.0529,0.0193,0.316691105889558,0.0048230659152341,0.284343586029009,0.027524453945315,169809000.0
12,Barbados,0.1721,0.2936,0.58397212543554,0.0062717770034843,0.470034843205575,0.107665505226481,287000.0
13,Belarus,0.1142,0.3951,2.740896,0.018912,2.612704,0.10928,9375000.0
14,Belgium,0.2461,0.1194,6.28632218844985,0.185427702996092,0.0,6.10089448545376,11515000.0
15,Belize,0.0849,0.2966,2.8727923627685,0.0730310262529833,2.73961813842482,0.0601431980906921,419000.0
16,Benin,0.0042,0.0181,0.0343435170775657,0.0004504873454009,0.0291833893029732,0.0047096404291915,12209000.0
17,Bolivia,0.2083,0.2761,1.95244562881458,0.0924353133327602,1.43861428694232,0.4213960285395,11633000.0
18,Bosnia and Herzegovina,0.3504,0.8414,3.76208473026516,0.145534897896983,2.96031697653155,0.656232855836635,3281000.0
19,Botswana,0.1336,0.2564,1.01437203280104,0.0070349589987052,0.844799309451877,0.162537764350453,2317000.0
20,Brazil,0.3024,0.1385,4.46016514645063,0.108602912016316,3.97946858534927,0.372093649085038,211812000.0
21,Bulgaria,0.2818,0.2122,3.22725566623358,0.134416053125451,2.7889562581204,0.303883354987729,6927000.0
22,Burkina Faso,0.0211,0.0184,0.053709993780797,0.000641056307707,0.0480313830550639,0.0050375544180261,20903000.0
23,Cabo Verde,0.1671,0.1789,2.5863309352518,0.0242805755395683,2.46115107913669,0.10089928057554,556000.0
24,Cambodia,0.126,0.0404,0.003058656514164,0.0,0.0029295992772794,0.0001290572368845,15497000.0
25,Cameroon,0.0234,0.0377,0.118031430934657,0.001782088878863,0.110914354462742,0.0053349875930521,26598000.0
26,Central African Republic,0.2008,0.0853,0.103291925465839,0.0013043478260869,0.101138716356108,0.0008488612836438,4830000.0
27,Chad,0.0087,0.0,0.0205783018308941,0.0007406529596492,0.0168809622563252,0.0029566866149197,16877000.0
28,China,0.1781,0.4762,0.0071555243388941,0.0003438428106404,0.0066851827422569,0.0001264987859967,1402385000.0
29,Colombia,0.0057,0.0969,4.35079483860529,0.112638540571151,4.09014440579241,0.148011892241728,49444000.0
30,Congo,0.0171,0.1299,0.571674519753534,0.0145161290322581,0.379720913374411,0.177437477346865,5518000.0
31,Costa Rica,0.3181,0.2488,3.84343572686363,0.0522793973782039,3.05578164742712,0.735374682058306,5111000.0
32,Cote d'Ivoire,0.0759,0.5311,0.112958930276982,0.0006189111747851,0.106105062082139,0.0062349570200573,26175000.0
33,Croatia,0.2458,1.2162,5.84890547263682,0.127960199004975,5.64870646766169,0.0722388059701493,4020000.0
34,Cuba,0.0657,0.0587,0.283760304937506,0.0020654197322932,0.230821735661732,0.0508731495434802,11281000.0
35,Cyprus,0.2387,1.0325,2.62170671085336,0.0174813587406794,0.170422535211268,2.43380281690141,1207000.0
36,Czechia,0.134,0.5037,9.61284061216872,0.159845091452034,8.55532848077641,0.897667039940276,10716000.0
37,Denmark,0.4069,0.8868,3.4632183908046,0.0380168124892777,3.30735975295934,0.117841825355979,5829000.0
38,Djibouti,0.1309,0.2052,0.601315789473684,0.0063765182186234,0.592307692307692,0.0026315789473684,988000.0
39,Dominica,0.2553,0.5944,0.168055555555556,0.0,0.152777777777778,0.0152777777777778,72000.0
40,Dominican Republic,0.142,0.1746,2.11569523809524,0.0266761904761905,1.57770476190476,0.511314285714286,10500000.0
41,Ecuador,0.0071,0.0773,1.46830563645708,0.0856832847924162,1.19818399862943,0.184438353035235,17511000.0
42,Egypt,0.0863,0.0452,0.167758896064601,0.0095274942214021,0.131002053510312,0.0272293483328869,100803000.0
43,El Salvador,0.2649,0.1691,0.867721030705138,0.0258139176053078,0.778136090109551,0.0637710229902793,6481000.0
44,Estonia,0.2121,1.125,3.56964688204358,0.0342599549211119,2.82854996243426,0.706836964688204,1331000.0
45,Eswatini,0.0648,0.0416,1.46567028985507,0.0547101449275362,1.03885869565217,0.372101449275362,1104000.0
46,Ethiopia,0.2957,0.0651,0.123092519753559,0.0018665808068502,0.109237181941592,0.0119887570051168,114916000.0
47,Fiji,0.1238,0.2384,0.00625,0.0002232142857142,0.0059151785714285,0.0001116071428571,896000.0
