,Country,% Stimulants (kg),% Stimulants (kcal),% Confirmed,% Deaths,% Recovered,% Active,Population,Population Recovered
65,India,0.0753,0.0199,0.77325641,0.011070352,0.751560674,0.010625384,1400100000,10522601
66,Indonesia,0.0406,0.1383,0.422099883,0.01155263,0.345619878,0.064927375,271739000,939184
67,Iran (Islamic Republic of),0.1299,0.0481,1.734248366,0.069414141,1.482322044,0.182512181,84150000,1247374
68,Iraq,0.1783,0.2592,1.579398364,0.033004405,1.508286973,0.038106986,39725000,599167
69,Ireland,0.1855,0.7129,4.048530881,0.073435938,0.4669998,3.508095143,5003000,23364
70,Israel,0.2619,0.4985,7.439051649,0.055023872,6.609635417,0.774392361,9216000,609144
71,Italy,0.2946,0.1562,4.353685153,0.150927093,3.494528659,0.708229402,60296000,2107061
72,Jamaica,0.1677,0.1633,0.599537202,0.012709149,0.435208259,0.151619794,2809000,12225
73,Japan,0.3731,0.4079,0.320820532,0.005059262,0.284769821,0.03099145,125967000,358716
74,Jordan,0.3742,0.3316,3.126275869,0.04091207,2.991759528,0.09360427,10679000,319490
75,Kazakhstan,0.1319,0.485,1.299402093,0.016650651,1.137764254,0.144987188,18732000,213126
76,Kenya,0.223,0.0706,0.18997534,0.00331789,0.157491406,0.029166044,53528000,84302
77,"Korea, South",0.0945,0.1187,0.156227188,0.00284081,0.136855217,0.01653116,51781000,70865
78,Kuwait,0.2696,0.6096,3.624728203,0.020549989,3.434086549,0.170091665,4691000,161093
79,Kyrgyzstan,0.0608,0.6077,1.28892933,0.021580224,1.236609039,0.030740067,6594000,81542
80,Lao People's Democratic Republic,0.9869,0.4102,0.000621375,0,0.000566142,5.52E-05,7242000,41
81,Latvia,0.1963,0.9626,3.749737119,0.069768665,3.122975815,0.556992639,1902000,59399
82,Lebanon,0.3647,0.3821,4.656937729,0.052190476,2.947062271,1.657684982,6825000,201137
83,Lesotho,0.0363,0.0438,0.437908497,0.008543417,0.126330532,0.303034547,2142000,2706
84,Liberia,0.0132,0.0469,0.038671412,0.001660735,0.034994069,0.002016607,5058000,1770
85,Lithuania,0.2164,0.234,6.667072298,0.1047602,4.939620616,1.622691482,2794000,138013
86,Luxembourg,1.2823,2.009,8.150632911,0.09335443,7.661550633,0.395727848,632000,48421
87,Madagascar,0.2085,0.0788,0.068849085,0.00101477,0.065779495,0.002054819,27691000,18215
88,Malawi,0.0389,0.0189,0.140486147,0.004375327,0.059320439,0.076790382,19130000,11348
89,Malaysia,0.1012,0.0172,0.728229767,0.002614319,0.57036088,0.155254568,32781000,186970
90,Maldives,0.396,0.6439,3.078743068,0.009981516,2.690573013,0.37818854,541000,14556
91,Mali,0.0614,0.0171,0.040294306,0.001669053,0.02989482,0.008730433,20251000,6054
92,Malta,0.2101,1.127,3.55862069,0.053448276,3.045210728,0.459961686,522000,15896
93,Mauritania,0.3677,0.1056,0.36111828,0.009139785,0.343763441,0.008215054,4650000,15985
94,Mauritius,0.1625,0.3997,0.046166008,0.000790514,0.042687747,0.002687747,1265000,540
95,Mexico,0.0248,0.0767,1.507199199,0.129731126,1.159804996,0.217663078,127792000,1482138
96,Mongolia,0.1401,0.7804,0.06019042,5.95E-05,0.043112169,0.017018744,3361000,1449
97,Montenegro,0.2605,1.2355,10.40819936,0.134405145,9.039871383,1.23392283,622000,56228
98,Morocco,0.2042,0.0888,1.321111482,0.023311638,1.2625751,0.035224744,35952000,453921
99,Mozambique,0.105,0.0434,0.141538856,0.00144709,0.085959058,0.054132709,31166000,26790
100,Namibia,0.0888,0.2056,1.371271153,0.014600551,1.312829595,0.043841007,2541000,33359
101,Nepal,0.0319,0.0698,0.906140819,0.006784238,0.89282571,0.006530871,29996000,267812
102,Netherlands,0.2904,0.1231,5.815291693,0.08283048,0.076063434,5.656397779,17467000,13286
103,New Zealand,0.2374,0.1267,0.046520954,0.000501303,0.04469621,0.001323441,4987000,2229
104,Nicaragua,0.005,0.1141,0.095497271,0.00257732,0.064053972,0.028865979,6596000,4225
105,Niger,0.0349,0.0194,0.01900864,0.000682128,0.016329737,0.001996775,24189000,3950
106,Nigeria,0.0064,0.0203,0.067547298,0.000798972,0.054602212,0.012146114,206140000,112557
107,North Macedonia,0.2474,0.7669,4.548028846,0.140192308,4.025721154,0.382115385,2080000,83735
108,Norway,0.4819,0.9901,1.200167069,0.010803787,0.334100613,0.855262669,5387000,17998
109,Oman,0.1395,0.3753,2.865287503,0.032505835,2.700318269,0.132463399,4713000,127266
110,Pakistan,0.5258,0.1289,0.250961347,0.005416403,0.230941432,0.014603512,220940000,510242
111,Panama,0.1195,0.3521,7.622320803,0.127363997,6.773850105,0.721106701,4283000,290124
112,Paraguay,1.0112,0.4745,1.896664369,0.038690558,1.562591316,0.295382495,7255000,113366
113,Peru,0.2501,0.1806,3.573741774,0.127751036,3.310513649,0.13547709,32824000,1086643
114,Philippines,0.5399,0.2244,0.488698771,0.010138619,0.44575702,0.032803132,109581000,488465
115,Poland,0.1509,0.0851,4.02817452,0.101631568,3.392334758,0.534208194,38368000,1301571
116,Portugal,0.2684,0.7161,7.429605071,0.13607021,5.84683569,1.446699171,10255000,599593
117,Republic of Moldova,0.083,0.3132,4.646195191,0.099858557,4.333691655,0.212644979,3535000,153196
118,Romania,0.1398,0.3831,3.863328309,0.097754794,3.583358453,0.182215062,19241000,689474
119,Russian Federation,0.1809,0.2083,2.663104414,0.051120062,2.316142245,0.295842108,146733000,3398545
120,Rwanda,0.011,0.0226,0.12613496,0.001675417,0.093012662,0.031446881,12952000,12047
121,Saint Kitts and Nevis,0.0749,0.0994,0.074074074,0,0.066666667,0.007407407,54000,36
122,Saint Lucia,0.0602,0.3571,0.996153846,0.00989011,0.480769231,0.505494505,182000,875
123,Saint Vincent and the Grenadines,0.2933,0.5405,1.082882883,0.002702703,0.361261261,0.718918919,111000,401
124,Samoa,0.1344,0.2857,0.001,0,0.001,0,200000,2
125,Sao Tome and Principe,0.0073,0.0207,0.643333333,0.008571429,0.504761905,0.13,210000,1060
126,Saudi Arabia,0.205,0.5008,1.055794641,0.018255758,1.030898091,0.006640792,35041000,361237
127,Senegal,0.1161,0.0957,0.170144529,0.004031295,0.139106546,0.027006689,16744000,23292
128,Serbia,0.243,0.5884,5.840908438,0.059105936,0,5.781802501,6957000,0
129,Sierra Leone,0.0762,0.0408,0.047285947,0.000990347,0.030738373,0.015557227,7977000,2452
130,Slovakia,0.2513,0.5959,4.792640059,0.094013182,4.361424387,0.33720249,5462000,238221
131,Slovenia,0.2615,1.1264,8.235901094,0.171754636,7.312933904,0.751212553,2103000,153791
132,Solomon Islands,0.0856,0.2282,0.002377622,0,0.001398601,0.000979021,715000,10
133,South Africa,0.1321,0.1169,2.471489904,0.077446837,2.248099886,0.145943181,59628000,1340497
134,Spain,0.2229,0.3517,6.176110003,0.128867429,0.315683846,5.731558728,47635000,150376
135,Sri Lanka,0.2818,0.0957,0.312604276,0.001600036,0.285335278,0.025668961,21937000,62594
136,Sudan,0.1502,0.0617,0.067581929,0.004175694,0.049702388,0.013703847,43849000,21794
137,Suriname,0.0903,0.3156,1.429752066,0.026446281,1.318016529,0.085289256,605000,7974
138,Sweden,0.5533,0.3261,5.666975041,0.116748579,0,5.550226462,10377000,0
139,Switzerland,0.3727,0.2051,6.160215427,0.111257818,3.678480426,2.370477183,8634000,317600
140,Taiwan*,0.1374,0.2688,0.003913596,3.81E-05,0.003570521,0.000304956,23610000,843
141,Tajikistan,0.0555,0.3566,0.141139039,0.000954502,0.140184537,0,9429000,13218
142,Thailand,0.1262,0.0707,0.035126402,0.000118736,0.025463673,0.009543993,66534000,16942
143,Timor-Leste,1.0136,0.3039,0.006069803,0,0.004628225,0.001441578,1318000,61
144,Togo,0.0843,0.0618,0.065660104,0.000954222,0.054777147,0.009928735,8279000,4535
145,Trinidad and Tobago,0.0899,0.1808,0.556026297,0.009861213,0.529948868,0.016216216,1369000,7255
146,Tunisia,0.1979,0.1587,1.817215871,0.060205111,1.453303631,0.303707128,11896000,172885
147,Turkey,0.2002,0.0989,3.015137872,0.031867633,2.881050193,0.102220046,83737000,2412505
148,Uganda,0.013,0.0233,0.087057563,0.000714895,0.031370106,0.054972563,45741000,14349
149,Ukraine,0.0883,0.1812,3.075922734,0.059205802,2.653382163,0.363334769,41778000,1108530
150,United Arab Emirates,0.1649,0.104,3.307445285,0.009347515,3.079167519,0.218930252,9778000,301081
151,United Kingdom,0.2461,0.7585,5.868482728,0.167220071,0.01516081,5.686101846,67160000,10182
152,United Republic of Tanzania,0.03,0.0209,0.000852111,3.52E-05,0.000306358,0.000510597,59734000,183
153,United States of America,0.2458,0.292,8.15992185,0.140103008,0,8.019818842,329878000,0
154,Uruguay,0.6169,0.4758,1.269102237,0.013622203,1.089464741,0.166015293,3531000,38469
155,Uzbekistan,0.0644,0.0662,0.231301574,0.001817171,0.226751331,0.002733072,34174000,77490
156,Vanuatu,0.0305,0.1144,0.000311526,0,0.000311526,0,321000,1
157,Venezuela (Bolivarian Republic of),0.1479,0.0667,0.452585093,0.004286961,0.424398673,0.023899459,28645000,121569
158,Vietnam,0.288,0.1021,0.002063217,3.64E-05,0.001525845,0.000500993,96209000,1468
159,Yemen,0.2199,0.1212,0.007131362,0.002061959,0.004787769,0.000281633,29826000,1428
160,Zambia,0.0618,0.0248,0.334132942,0.004563751,0.290524369,0.039044822,18384000,53410
161,Zimbabwe,0.1494,0.046,0.232032564,0.008854202,0.190964139,0.032214223,14863000,28383
