,Country,Obesity,Total_Active_Cases,size,,below 50k,50k - 1m,above 1m,,Range
121,Saint Kitts and Nevis,23.1,4,below,,4,,,,4
122,Saint Lucia,19.8,920,below,,920,,,,920
123,Saint Vincent and the Grenadines,23.8,798,below,,798,,,,798
124,Samoa,45.5,0,below,,0,,,,
125,Sao Tome and Principe,10.6,273,below,,273,,,,273
126,Saudi Arabia,35,2327,below,,2327,,,,2327
127,Senegal,7.4,4522,below,,4522,,,,4522
128,Serbia,23.5,402240,above,,,402240,,,402240
129,Sierra Leone,7.5,1241,below,,1241,,,,1241
130,Slovakia,22.4,18418,below,,18418,,,,18418
131,Slovenia,22.5,15798,below,,15798,,,,15798
132,Solomon Islands,20.5,7,below,,7,,,,7
133,South Africa,27,87023,above,,,87023,,,87023
134,Spain,27.1,2730228,above,,,,2730228,,2730228
135,Sri Lanka,5.4,5631,below,,5631,,,,5631
136,Sudan,7.4,6009,below,,6009,,,,6009
137,Suriname,26.5,516,below,,516,,,,516
138,Sweden,22.1,575947,above,,,575947,,,575947
139,Switzerland,21.2,204667,above,,,204667,,,204667
140,Tajikistan,12.6,0,below,,0,,,,
141,Thailand,10.8,6350,below,,6350,,,,6350
142,Timor-Leste,2.9,19,below,,19,,,,19
143,Togo,7.1,822,below,,822,,,,822
144,Trinidad and Tobago,19.7,222,below,,222,,,,222
145,Tunisia,27.3,36129,below,,36129,,,,36129
146,Turkey,32.2,85596,above,,,85596,,,85596
147,Uganda,4.1,25145,below,,25145,,,,25145
148,Ukraine,26.1,151794,above,,,151794,,,151794
149,United Arab Emirates,29.9,21407,below,,21407,,,,21407
150,United Kingdom,29.5,3818786,above,,,,3818786,,3818786
151,United Republic of Tanzania,7.1,305,below,,305,,,,305
152,United States of America,37.3,26455618,above,,,,26455618,,26455618
153,Uruguay,28.9,5862,below,,5862,,,,5862
154,Uzbekistan,15.3,934,below,,934,,,,934
155,Vanuatu,23.5,0,below,,0,,,,
156,Venezuela (Bolivarian Republic of),25.2,6846,below,,6846,,,,6846
157,Vietnam,2.1,482,below,,482,,,,482
158,Yemen,14.1,84,below,,84,,,,84
159,Zambia,6.5,7178,below,,7178,,,,7178
160,Zimbabwe,12.3,4788,below,,4788,,,,4788
